Word         , Frequency, Frequency (%)
the          ,        92, 2.90587%
and          ,        84, 2.65319%
i            ,        71, 2.24258%
of           ,        67, 2.11624%
to           ,        66, 2.08465%
you          ,        45, 1.42135%
in           ,        43, 1.35818%
a            ,        40, 1.26342%
romeo        ,        39, 1.23184%
with         ,        38, 1.20025%
his          ,        37, 1.16867%
my           ,        35, 1.1055%
benvolio     ,        35, 1.1055%
is           ,        35, 1.1055%
that         ,        34, 1.07391%
s            ,        32, 1.01074%
me           ,        26, 0.821226%
not          ,        26, 0.821226%
but          ,        26, 0.821226%
sampson      ,        24, 0.758054%
montague     ,        23, 0.726469%
love         ,        21, 0.663298%
gregory      ,        20, 0.631712%
capulet      ,        19, 0.600126%
will         ,        19, 0.600126%
as           ,        18, 0.568541%
she          ,        18, 0.568541%
so           ,        18, 0.568541%
thou         ,        18, 0.568541%
what         ,        18, 0.568541%
this         ,        18, 0.568541%
be           ,        17, 0.536955%
fair         ,        17, 0.536955%
by           ,        17, 0.536955%
her          ,        17, 0.536955%
it           ,        16, 0.50537%
your         ,        15, 0.473784%
all          ,        14, 0.442198%
from         ,        14, 0.442198%
do           ,        14, 0.442198%
sir          ,        13, 0.410613%
at           ,        13, 0.410613%
more         ,        13, 0.410613%
their        ,        13, 0.410613%
he           ,        13, 0.410613%
servingman   ,        13, 0.410613%
for          ,        12, 0.379027%
enter        ,        12, 0.379027%
shall        ,        12, 0.379027%
they         ,        12, 0.379027%
have         ,        11, 0.347442%
thee         ,        11, 0.347442%
one          ,        11, 0.347442%
if           ,        11, 0.347442%
our          ,        11, 0.347442%
we           ,        11, 0.347442%
house        ,        10, 0.315856%
lady         ,        10, 0.315856%
where        ,        10, 0.315856%
here         ,        10, 0.315856%
no           ,        10, 0.315856%
good         ,        10, 0.315856%
old          ,        10, 0.315856%
them         ,         9, 0.28427%
thy          ,         9, 0.28427%
or           ,         9, 0.28427%
men          ,         9, 0.28427%
o            ,         9, 0.28427%
part         ,         8, 0.252685%
which        ,         8, 0.252685%
being        ,         8, 0.252685%
who          ,         8, 0.252685%
should       ,         8, 0.252685%
on           ,         8, 0.252685%
hath         ,         8, 0.252685%
tybalt       ,         8, 0.252685%
out          ,         8, 0.252685%
well         ,         8, 0.252685%
thumb        ,         7, 0.221099%
sword        ,         7, 0.221099%
paris        ,         7, 0.221099%
say          ,         7, 0.221099%
an           ,         7, 0.221099%
mine         ,         7, 0.221099%
go           ,         7, 0.221099%
abram        ,         7, 0.221099%
are          ,         7, 0.221099%
am           ,         7, 0.221099%
let          ,         7, 0.221099%
take         ,         7, 0.221099%
whose        ,         7, 0.221099%
tis          ,         7, 0.221099%
prince       ,         7, 0.221099%
know         ,         7, 0.221099%
ll           ,         7, 0.221099%
makes        ,         6, 0.189514%
such         ,         6, 0.189514%
own          ,         6, 0.189514%
can          ,         6, 0.189514%
too          ,         6, 0.189514%
tell         ,         6, 0.189514%
ay           ,         6, 0.189514%
when         ,         6, 0.189514%
bite         ,         6, 0.189514%
come         ,         6, 0.189514%
beauty       ,         6, 0.189514%
peace        ,         6, 0.189514%
most         ,         6, 0.189514%
him          ,         6, 0.189514%
juliet       ,         5, 0.157928%
made         ,         5, 0.157928%
think        ,         5, 0.157928%
why          ,         5, 0.157928%
draw         ,         5, 0.157928%
wall         ,         5, 0.157928%
us           ,         5, 0.157928%
these        ,         5, 0.157928%
other        ,         5, 0.157928%
fire         ,         5, 0.157928%
show         ,         5, 0.157928%
up           ,         5, 0.157928%
then         ,         5, 0.157928%
was          ,         5, 0.157928%
see          ,         5, 0.157928%
three        ,         5, 0.157928%
art          ,         5, 0.157928%
exit         ,         5, 0.157928%
feel         ,         5, 0.157928%
hate         ,         5, 0.157928%
many         ,         5, 0.157928%
verona       ,         5, 0.157928%
now          ,         5, 0.157928%
quarrel      ,         5, 0.157928%
live         ,         4, 0.126342%
two          ,         4, 0.126342%
cousin       ,         4, 0.126342%
himself      ,         4, 0.126342%
kinsman      ,         4, 0.126342%
forget       ,         4, 0.126342%
citizens     ,         4, 0.126342%
civil        ,         4, 0.126342%
those        ,         4, 0.126342%
maids        ,         4, 0.126342%
turn         ,         4, 0.126342%
away         ,         4, 0.126342%
some         ,         4, 0.126342%
names        ,         4, 0.126342%
moved        ,         4, 0.126342%
pray         ,         4, 0.126342%
wife         ,         4, 0.126342%
new          ,         4, 0.126342%
eyes         ,         4, 0.126342%
eye          ,         4, 0.126342%
aside        ,         4, 0.126342%
montagues    ,         4, 0.126342%
night        ,         4, 0.126342%
without      ,         4, 0.126342%
death        ,         4, 0.126342%
another      ,         4, 0.126342%
ancient      ,         4, 0.126342%
may          ,         4, 0.126342%
read         ,         4, 0.126342%
man          ,         4, 0.126342%
stand        ,         4, 0.126342%
stay         ,         4, 0.126342%
hear         ,         4, 0.126342%
word         ,         4, 0.126342%
find         ,         4, 0.126342%
sadness      ,         4, 0.126342%
hours        ,         3, 0.0947568%
ere          ,         3, 0.0947568%
else         ,         3, 0.0947568%
strike       ,         3, 0.0947568%
still        ,         3, 0.0947568%
sun          ,         3, 0.0947568%
feast        ,         3, 0.0947568%
father       ,         3, 0.0947568%
hands        ,         3, 0.0947568%
tears        ,         3, 0.0947568%
happy        ,         3, 0.0947568%
than         ,         3, 0.0947568%
chorus       ,         3, 0.0947568%
hit          ,         3, 0.0947568%
heads        ,         3, 0.0947568%
earth        ,         3, 0.0947568%
heart        ,         3, 0.0947568%
there        ,         3, 0.0947568%
therefore    ,         3, 0.0947568%
heavy        ,         3, 0.0947568%
signior      ,         3, 0.0947568%
down         ,         3, 0.0947568%
doth         ,         3, 0.0947568%
die          ,         3, 0.0947568%
right        ,         3, 0.0947568%
scene        ,         3, 0.0947568%
saw          ,         3, 0.0947568%
along        ,         3, 0.0947568%
among        ,         3, 0.0947568%
long         ,         3, 0.0947568%
view         ,         3, 0.0947568%
nor          ,         3, 0.0947568%
loving       ,         3, 0.0947568%
came         ,         3, 0.0947568%
poor         ,         3, 0.0947568%
how          ,         3, 0.0947568%
rest         ,         3, 0.0947568%
master       ,         3, 0.0947568%
myself       ,         3, 0.0947568%
must         ,         3, 0.0947568%
both         ,         3, 0.0947568%
were         ,         3, 0.0947568%
